Date,Open,High,Low,Close,Volume
2009-10-20,24.411,24.86,24.411,24.86,573623
2009-10-21,24.941,25.129,24.42,24.824,375986
2009-10-22,24.689,24.949,24.689,24.949,121170
2009-10-23,25.308,26.009,25.308,25.982,143892
2009-10-26,25.623,25.847,24.958,25.237,321430
2009-10-27,24.86,24.86,24.519,24.591,274624
2009-10-28,24.42,24.635,23.971,24.205,567017
2009-10-29,23.693,24.842,23.648,24.519,138977
2009-10-30,24.851,24.932,23.837,23.873,185884
2009-11-02,23.873,24.24,23.343,24.24,188952
2009-11-03,24.232,24.232,23.603,23.962,286575
2009-11-04,24.052,24.77,23.962,24.608,248402
2009-11-05,24.905,25.353,24.815,25.057,740125
2009-11-06,25.129,25.129,24.689,25.12,205151
2009-11-09,25.129,25.955,25.039,25.748,320152
2009-11-10,25.937,26.17,25.578,25.578,171413
2009-11-12,25.667,25.847,24.599,25.326,305589
2009-11-13,25.326,25.802,25.057,25.129,176306
2009-11-16,25.802,25.946,25.398,25.407,370826
2009-11-17,25.578,26.071,25.398,25.524,143795
2009-11-18,25.937,26.107,25.398,25.667,414843
2009-11-19,25.667,26.206,25.578,25.757,323791
2009-11-20,25.892,25.919,25.147,25.748,121342
