Date,Open,High,Low,Close,Volume
2009-10-20,44.586,45.186,43.535,44.1,698727
2009-10-21,44.343,44.394,42.135,43.447,806290
2009-10-22,42.868,42.877,40.904,42.182,568579
2009-10-23,42.689,42.689,41.412,41.646,439686
2009-10-26,41.573,42.659,41.199,41.364,392904
2009-10-27,41.051,41.087,39.704,40.234,755190
2009-10-28,39.754,39.937,37.711,38.346,1090155
2009-10-29,38.27,40.088,37.662,39.835,912794
2009-10-30,39.843,40.417,38.139,38.686,847862
2009-11-02,38.711,39.45,38.146,39.232,411937
2009-11-03,38.27,39.078,36.592,38.277,756305
2009-11-04,38.841,39.918,38.711,39.475,654459
2009-11-05,38.825,40.304,38.486,39.495,524988
2009-11-06,39.376,41.315,39.315,40.497,598001
2009-11-09,40.793,40.81,40.045,40.497,433718
2009-11-10,40.05,40.094,38.164,38.999,1222663
2009-11-11,39.121,39.573,38.955,39.407,621989
2009-11-12,39.087,39.826,38.87,38.94,402698
2009-11-13,39.205,39.378,38.379,38.492,517896
2009-11-16,38.913,40.651,38.609,40.556,831247
2009-11-17,40.864,40.96,39.516,39.777,450041
2009-11-18,39.75,40.011,38.96,39.446,438200
2009-11-19,38.893,39.363,38.276,38.59,426864
2009-11-20,38.785,38.994,37.576,37.899,595588
