Date,Open,High,Low,Close,Volume
2009-10-20,24.549,24.75,24.018,24.163,2844483
2009-10-21,24.163,24.374,23.392,24.057,3394298
2009-10-22,23.604,23.662,23.036,23.402,3837086
2009-10-23,23.643,23.999,23.44,23.517,2794142
2009-10-26,23.681,23.835,22.939,23.122,2456057
2009-10-27,23.046,23.229,22.409,22.583,3358377
2009-10-28,22.052,22.071,20.964,21.203,6948412
2009-10-29,21.02,21.869,20.944,21.802,4463566
2009-10-30,21.898,22.168,20.982,21.107,4199832
2009-11-02,21.098,21.59,20.808,21.3,3924258
2009-11-03,21.166,21.166,20.511,20.954,3933841
2009-11-04,21.233,21.783,21.166,21.618,3203864
2009-11-05,21.396,21.946,20.982,21.811,3523761
2009-11-06,21.985,22.293,21.551,22.042,3593919
2009-11-09,22.216,22.688,22.158,22.611,2425357
2009-11-10,22.534,22.697,22.158,22.39,3251709
2009-11-11,22.669,23.036,22.601,22.842,2745843
2009-11-12,22.649,23.17,22.514,22.697,5569016
2009-11-13,22.524,23.122,22.457,22.977,5216545
2009-11-16,23.71,24.153,23.614,23.999,6066389
2009-11-17,23.999,24.25,23.71,23.883,3556477
2009-11-18,24.077,24.384,23.835,23.99,2690514
2009-11-19,23.902,23.99,23.478,23.614,2742706
2009-11-20,23.614,23.893,22.919,23.43,3624730
